Food Name,Carbohydrates (g),Proteins (g),Fats (g),Calories (kcal),Diet Category
Cheese,11.0,33.7,27.7,428.1,Protein-Rich
Paneer,71.8,25.7,29.2,652.8,Carb-Rich
Peanuts,43.3,11.0,30.9,495.3,Carb-Rich
Avocado,79.2,25.2,33.6,720.0,Carb-Rich
Almonds,35.6,12.4,34.4,501.6,Carb-Rich
Peanuts,7.9,47.4,21.1,411.1,Protein-Rich
Quinoa,4.2,38.1,15.1,305.1,Protein-Rich
Tofu,7.1,9.4,5.9,119.1,Protein-Rich
Beans,73.3,33.5,2.2,447.0,Carb-Rich
Oats,45.4,4.2,10.7,294.7,Carb-Rich
Eggs,7.4,2.5,23.6,252.0,Fat-Rich
Quinoa,11.9,18.3,35.5,440.3,Fat-Rich
Paneer,50.3,31.4,5.7,378.1,Carb-Rich
Yogurt,21.5,4.1,13.6,224.8,Carb-Rich
Salmon,18.0,19.5,26.8,391.2,Fat-Rich
Milk,46.6,47.3,37.4,712.2,Protein-Rich
Paneer,72.6,14.5,28.5,604.9,Carb-Rich
Sweet Potato,22.6,13.7,8.6,222.6,Carb-Rich
Cheese,64.5,8.3,22.5,493.7,Carb-Rich
Apple,64.7,7.2,30.4,561.2,Carb-Rich
Tofu,29.0,45.5,16.2,443.8,Protein-Rich
Lentils,44.1,4.9,14.0,322.0,Carb-Rich
Paneer,66.1,34.2,19.4,575.8,Carb-Rich
Chicken,23.7,14.2,35.9,474.7,Fat-Rich
Lentils,12.9,28.5,35.3,483.3,Fat-Rich
Eggs,43.6,32.2,21.7,498.5,Carb-Rich
Salmon,33.9,4.0,22.8,356.8,Carb-Rich
Banana,76.2,10.7,8.0,419.6,Carb-Rich
Quinoa,79.6,15.8,30.8,658.8,Carb-Rich
Oats,11.2,15.4,38.0,448.4,Fat-Rich
Almonds,66.2,9.0,23.0,507.8,Carb-Rich
Apple,74.6,29.1,30.2,686.6,Carb-Rich
Peanuts,4.2,8.3,21.4,242.6,Fat-Rich
Yogurt,73.3,0.9,36.3,623.5,Carb-Rich
Almonds,71.5,14.2,38.3,687.5,Carb-Rich
Bread,41.0,22.4,15.0,388.6,Carb-Rich
Beans,27.7,3.5,33.2,423.6,Fat-Rich
Cheese,55.5,13.4,38.5,622.1,Carb-Rich
Milk,58.2,18.7,4.0,343.6,Carb-Rich
Peanuts,15.9,48.8,14.2,386.6,Protein-Rich
Paneer,42.3,31.4,29.0,555.8,Carb-Rich
Tofu,76.9,9.4,14.3,473.9,Carb-Rich
Tofu,62.8,45.0,12.8,546.4,Carb-Rich
Beans,49.2,9.5,37.6,573.2,Carb-Rich
Salmon,66.7,8.3,5.6,350.4,Carb-Rich
Milk,27.6,11.9,30.9,436.1,Fat-Rich
Avocado,76.9,28.5,7.2,486.4,Carb-Rich
Avocado,30.0,6.4,37.3,481.3,Fat-Rich
Beans,52.7,30.1,22.8,536.4,Carb-Rich
Rice,54.0,46.6,14.9,536.5,Carb-Rich
Salmon,48.6,40.3,9.7,442.9,Carb-Rich
Oats,75.8,25.6,19.7,582.9,Carb-Rich
Salmon,38.9,17.7,18.4,392.0,Carb-Rich
Chicken,52.3,42.1,7.3,443.3,Carb-Rich
Chicken,57.2,7.2,32.6,551.0,Carb-Rich
Quinoa,1.2,14.5,31.6,347.2,Fat-Rich
Yogurt,2.4,16.8,38.5,423.3,Fat-Rich
Apple,13.4,2.8,36.7,395.1,Fat-Rich
Almonds,76.5,23.7,31.5,684.3,Carb-Rich
Lentils,38.6,48.5,34.4,658.0,Protein-Rich
Banana,16.3,6.7,8.9,172.1,Carb-Rich
Milk,27.5,24.9,39.9,568.7,Fat-Rich
Avocado,35.9,24.0,14.1,366.5,Carb-Rich
Banana,49.7,5.2,32.0,507.6,Carb-Rich
Peanuts,2.4,28.2,32.4,414.0,Fat-Rich
Cheese,30.4,12.9,15.8,315.4,Carb-Rich
Oats,29.8,0.3,23.2,329.2,Carb-Rich
Peanuts,32.1,17.5,2.3,219.1,Carb-Rich
Eggs,38.5,11.8,15.0,336.2,Carb-Rich
Eggs,4.4,45.8,25.7,432.1,Protein-Rich
Rice,57.7,33.1,18.5,529.7,Carb-Rich
Banana,32.5,17.1,22.4,400.0,Carb-Rich
Banana,29.3,45.0,31.1,577.1,Protein-Rich
Quinoa,30.5,6.9,29.0,410.6,Carb-Rich
Banana,55.8,46.1,5.5,457.1,Carb-Rich
Oats,52.0,12.6,25.9,491.5,Carb-Rich
Chicken,48.8,39.7,4.4,393.6,Carb-Rich
Beans,5.0,31.7,8.0,218.8,Protein-Rich
Cheese,74.8,21.2,0.6,389.4,Carb-Rich
Quinoa,65.3,22.4,15.6,491.2,Carb-Rich
Quinoa,76.8,30.5,3.4,459.8,Carb-Rich
Sweet Potato,48.1,32.6,22.7,527.1,Carb-Rich
Banana,62.2,14.2,3.1,333.5,Carb-Rich
Peanuts,19.2,37.2,29.5,491.1,Protein-Rich
Beans,68.6,4.1,3.7,324.1,Carb-Rich
Tofu,76.4,40.8,9.5,554.3,Carb-Rich
Quinoa,79.6,49.4,31.6,800.4,Carb-Rich
Almonds,56.3,12.0,12.6,386.6,Carb-Rich
Bread,71.7,0.3,18.4,453.6,Carb-Rich
Bread,28.7,28.8,24.3,448.7,Protein-Rich
Almonds,70.2,3.6,25.4,523.8,Carb-Rich
Chicken,61.5,9.6,37.7,623.7,Carb-Rich
Paneer,76.9,41.1,22.8,677.2,Carb-Rich
Milk,34.1,1.2,2.4,162.8,Carb-Rich
Paneer,26.9,37.3,16.6,406.2,Protein-Rich
Salmon,35.8,32.5,7.2,338.0,Carb-Rich
Banana,32.4,6.6,12.8,271.2,Carb-Rich
Chicken,25.8,30.7,26.1,460.9,Protein-Rich
Lentils,60.1,41.6,36.3,733.5,Carb-Rich
Rice,18.7,10.4,7.4,183.0,Carb-Rich
Quinoa,41.9,10.0,39.0,558.6,Carb-Rich
Banana,16.2,26.9,13.5,293.9,Protein-Rich
Banana,42.5,32.7,7.4,367.4,Carb-Rich
Peanuts,67.4,34.3,19.2,579.6,Carb-Rich
Paneer,27.8,46.1,22.7,499.9,Protein-Rich
Banana,72.4,14.2,22.1,545.3,Carb-Rich
Banana,6.8,24.5,12.9,241.3,Protein-Rich
Yogurt,47.3,1.1,12.5,306.1,Carb-Rich
Yogurt,79.1,3.3,0.4,333.2,Carb-Rich
Rice,67.8,39.4,21.2,619.6,Carb-Rich
Chicken,26.9,2.8,1.9,135.9,Carb-Rich
Apple,65.9,36.9,9.3,494.9,Carb-Rich
Apple,10.1,12.5,16.0,234.4,Fat-Rich
Peanuts,0.5,3.4,12.8,130.8,Fat-Rich
Yogurt,30.1,48.9,9.6,402.4,Protein-Rich
Apple,64.2,41.4,25.9,655.5,Carb-Rich
Tofu,59.9,40.3,13.1,518.7,Carb-Rich
Rice,16.0,7.0,37.7,431.3,Fat-Rich
Paneer,64.5,20.9,5.6,392.0,Carb-Rich
Milk,75.8,43.7,24.0,694.0,Carb-Rich
Paneer,38.7,31.9,29.7,549.7,Carb-Rich
Salmon,31.0,27.7,23.4,445.4,Carb-Rich
Cheese,19.7,9.2,27.7,364.9,Fat-Rich
Tofu,22.5,13.5,38.1,486.9,Fat-Rich
Avocado,46.2,25.0,12.5,397.3,Carb-Rich
Eggs,33.1,20.2,29.8,481.4,Carb-Rich
Sweet Potato,61.4,4.2,28.7,520.7,Carb-Rich
Banana,37.6,49.6,27.7,598.1,Protein-Rich
Peanuts,28.7,36.5,13.3,380.5,Protein-Rich
Oats,23.2,46.6,12.0,387.2,Protein-Rich
Tofu,56.9,21.6,4.5,354.5,Carb-Rich
Rice,42.0,27.9,13.2,398.4,Carb-Rich
Yogurt,51.1,25.6,0.0,306.8,Carb-Rich
Eggs,19.4,46.2,15.8,404.6,Protein-Rich
Quinoa,57.7,30.0,5.2,397.6,Carb-Rich
Beans,8.5,24.9,27.7,382.9,Fat-Rich
Tofu,53.7,22.2,13.7,426.9,Carb-Rich
Quinoa,2.8,33.2,8.4,219.6,Protein-Rich
Tofu,76.1,35.0,18.1,607.3,Carb-Rich
Cheese,60.1,43.7,0.1,416.1,Carb-Rich
Peanuts,65.3,11.6,3.8,341.8,Carb-Rich
Milk,46.8,27.5,14.2,425.0,Carb-Rich
Banana,32.7,39.5,31.3,570.5,Protein-Rich
Chicken,30.4,39.8,13.7,404.1,Protein-Rich
Lentils,47.0,24.3,6.7,345.5,Carb-Rich
Bread,44.1,26.6,35.4,601.4,Carb-Rich
Yogurt,33.8,7.6,17.2,320.4,Carb-Rich
Yogurt,78.5,40.9,4.9,521.7,Carb-Rich
Peanuts,26.8,14.8,27.5,413.9,Fat-Rich
Eggs,62.5,36.0,10.1,484.9,Carb-Rich
Tofu,3.5,7.5,11.5,147.5,Fat-Rich
Milk,67.7,13.1,4.4,362.8,Carb-Rich
Beans,54.9,32.7,23.2,559.2,Carb-Rich
Peanuts,64.4,46.8,39.4,799.4,Carb-Rich
Peanuts,46.3,5.2,29.0,467.0,Carb-Rich
Quinoa,61.1,15.0,1.0,313.4,Carb-Rich
Chicken,53.6,4.6,20.9,420.9,Carb-Rich
Sweet Potato,41.7,32.6,31.1,577.1,Carb-Rich
Tofu,14.3,3.6,17.6,230.0,Fat-Rich
Almonds,8.7,27.0,3.4,173.4,Protein-Rich
Avocado,74.8,1.4,33.8,609.0,Carb-Rich
Banana,2.9,27.2,17.5,277.9,Protein-Rich
Banana,52.3,29.8,33.5,629.9,Carb-Rich
Sweet Potato,76.3,15.4,28.6,624.2,Carb-Rich
Rice,36.5,45.0,30.3,598.7,Protein-Rich
Chicken,33.6,6.7,5.8,213.4,Carb-Rich
Eggs,1.0,35.3,16.1,290.1,Protein-Rich
Chicken,66.9,26.1,24.4,591.6,Carb-Rich
Salmon,0.5,36.8,27.0,392.2,Protein-Rich
Eggs,2.5,31.9,7.1,201.5,Protein-Rich
Almonds,15.7,47.7,34.8,566.8,Protein-Rich
Apple,62.8,23.5,1.6,359.6,Carb-Rich
Beans,37.0,17.4,26.0,451.6,Carb-Rich
Quinoa,20.8,34.1,19.5,395.1,Protein-Rich
Lentils,77.5,33.8,29.4,709.8,Carb-Rich
Eggs,49.7,23.1,28.3,545.9,Carb-Rich
Beans,15.1,7.4,31.5,373.5,Fat-Rich
Avocado,61.4,17.6,15.9,459.1,Carb-Rich
Rice,19.5,21.0,37.1,495.9,Fat-Rich
Beans,53.1,20.4,26.7,534.3,Carb-Rich
Eggs,16.6,43.8,10.3,334.3,Protein-Rich
Quinoa,29.4,7.4,4.5,187.7,Carb-Rich
Banana,70.4,45.1,33.6,764.4,Carb-Rich
Salmon,15.4,4.1,8.5,154.5,Carb-Rich
Oats,51.7,26.7,11.5,417.1,Carb-Rich
Sweet Potato,53.2,20.7,31.2,576.4,Carb-Rich
Cheese,12.5,17.4,39.8,477.8,Fat-Rich
Almonds,71.2,40.2,33.5,747.1,Carb-Rich
Paneer,7.7,26.9,22.4,340.0,Protein-Rich
Banana,16.9,15.4,23.7,342.5,Fat-Rich
Rice,12.1,27.1,18.5,323.3,Protein-Rich
Eggs,58.1,36.4,19.6,554.4,Carb-Rich
Milk,44.4,14.9,32.8,532.4,Carb-Rich
Paneer,39.2,14.5,40.0,574.8,Fat-Rich
Oats,66.8,13.2,9.3,403.7,Carb-Rich
Rice,40.8,20.1,1.0,252.6,Carb-Rich
Sweet Potato,33.9,5.1,3.3,185.7,Carb-Rich
Avocado,8.3,20.4,28.4,370.4,Fat-Rich
Yogurt,37.8,17.4,24.9,444.9,Carb-Rich
Salmon,33.2,48.4,22.8,531.6,Protein-Rich
Tofu,37.4,49.2,7.5,413.9,Protein-Rich
Almonds,66.8,11.4,18.7,481.1,Carb-Rich
Chicken,0.7,38.5,6.8,218.0,Protein-Rich
Banana,64.3,6.2,24.2,499.8,Carb-Rich
Lentils,30.7,37.7,13.3,393.3,Protein-Rich
Cheese,32.4,4.6,1.5,161.5,Carb-Rich
Beans,54.4,45.4,16.7,549.5,Carb-Rich
Chicken,46.3,37.7,6.3,392.7,Carb-Rich
Beans,29.1,31.0,7.9,311.5,Protein-Rich
Almonds,76.8,10.8,28.6,607.8,Carb-Rich
Milk,63.9,43.3,20.3,611.5,Carb-Rich
Banana,69.1,10.0,16.4,464.0,Carb-Rich
Sweet Potato,63.0,26.3,23.1,565.1,Carb-Rich
Chicken,11.6,11.5,24.7,314.7,Fat-Rich
Avocado,69.0,24.3,12.1,482.1,Carb-Rich
Paneer,8.2,16.2,7.1,161.5,Protein-Rich
Peanuts,66.2,0.6,9.9,356.3,Carb-Rich
Chicken,51.4,48.2,39.6,754.8,Carb-Rich
Eggs,14.3,48.3,7.3,316.1,Protein-Rich
Apple,51.5,1.4,21.9,408.7,Carb-Rich
Rice,0.2,23.8,6.0,150.0,Protein-Rich
Rice,17.6,42.4,16.5,388.5,Protein-Rich
Quinoa,11.5,9.0,30.5,356.5,Fat-Rich
Bread,56.2,37.0,0.6,378.2,Carb-Rich
Lentils,33.4,2.7,38.4,490.0,Fat-Rich
Apple,50.7,23.4,19.4,471.0,Carb-Rich
Yogurt,27.1,38.2,19.6,437.6,Protein-Rich
Sweet Potato,15.3,38.1,11.0,312.6,Protein-Rich
Chicken,68.8,25.9,30.8,656.0,Carb-Rich
Banana,72.2,48.3,14.0,608.0,Carb-Rich
Banana,76.5,13.7,27.2,605.6,Carb-Rich
Rice,16.6,29.7,18.3,349.9,Protein-Rich
Paneer,20.0,8.1,4.4,152.0,Carb-Rich
Sweet Potato,12.7,14.6,13.9,234.3,Protein-Rich
Avocado,6.1,31.3,39.5,505.1,Fat-Rich
Cheese,49.7,3.4,33.1,510.3,Carb-Rich
Salmon,62.7,42.5,7.0,483.8,Carb-Rich
Banana,18.7,3.7,8.6,167.0,Carb-Rich
Lentils,35.2,9.3,0.5,182.5,Carb-Rich
Cheese,54.1,31.2,4.6,382.6,Carb-Rich
Banana,14.3,2.8,19.9,247.5,Fat-Rich
Eggs,61.8,3.9,18.4,428.4,Carb-Rich
Oats,21.4,15.0,28.3,400.3,Fat-Rich
Peanuts,35.6,20.4,26.9,466.1,Carb-Rich
Peanuts,21.2,35.2,39.3,579.3,Fat-Rich
Salmon,63.4,44.2,24.5,650.9,Carb-Rich
Cheese,70.3,10.6,15.2,460.4,Carb-Rich
Salmon,77.8,26.3,5.0,461.4,Carb-Rich
Milk,19.4,48.5,19.5,447.1,Protein-Rich
Peanuts,54.4,40.1,13.2,496.8,Carb-Rich
Eggs,75.7,47.4,35.6,812.8,Carb-Rich
Chicken,10.9,41.9,28.1,464.1,Protein-Rich
Beans,19.4,21.3,11.8,269.0,Protein-Rich
Paneer,8.0,16.8,2.2,119.0,Protein-Rich
Yogurt,42.9,28.9,38.8,636.4,Carb-Rich
Sweet Potato,69.5,45.9,38.9,811.7,Carb-Rich
Salmon,35.1,25.7,33.2,542.0,Carb-Rich
Bread,47.7,46.5,23.0,583.8,Carb-Rich
Rice,30.5,14.7,24.5,401.3,Carb-Rich
Tofu,66.8,9.1,13.7,426.9,Carb-Rich
Cheese,57.1,3.4,24.7,464.3,Carb-Rich
Rice,66.9,15.0,33.6,630.0,Carb-Rich
Almonds,3.0,14.8,0.9,79.3,Protein-Rich
Paneer,48.2,7.1,13.0,338.2,Carb-Rich
Chicken,70.3,19.4,3.4,389.4,Carb-Rich
Rice,77.4,41.9,17.6,635.6,Carb-Rich
Rice,69.7,36.6,25.7,656.5,Carb-Rich
Quinoa,38.7,44.9,2.1,353.3,Protein-Rich
Avocado,27.5,36.0,7.5,321.5,Protein-Rich
Oats,16.8,44.9,31.3,528.5,Protein-Rich
Apple,20.4,7.6,22.6,315.4,Fat-Rich
Milk,56.1,42.7,31.3,676.9,Carb-Rich
Bread,2.7,6.9,0.8,45.6,Protein-Rich
Peanuts,27.1,23.4,27.7,451.3,Fat-Rich
Sweet Potato,18.0,29.5,23.6,402.4,Protein-Rich
Cheese,7.8,38.6,10.9,283.7,Protein-Rich
Lentils,42.4,6.7,21.1,386.3,Carb-Rich
Bread,31.8,6.9,37.4,491.4,Fat-Rich
Banana,17.3,15.2,29.2,392.8,Fat-Rich
Bread,59.5,4.2,29.2,517.6,Carb-Rich
Lentils,65.9,28.2,4.9,420.5,Carb-Rich
Bread,68.3,13.8,6.0,382.4,Carb-Rich
Almonds,36.9,38.2,34.3,609.1,Protein-Rich
Beans,76.8,41.7,2.1,492.9,Carb-Rich
Cheese,36.1,25.7,12.5,359.7,Carb-Rich
Eggs,74.1,37.1,35.2,761.6,Carb-Rich
Cheese,33.1,22.2,12.9,337.3,Carb-Rich
Avocado,77.0,7.8,7.6,407.6,Carb-Rich
Banana,8.9,27.4,21.1,335.1,Protein-Rich
Cheese,34.1,19.7,13.6,337.6,Carb-Rich
Paneer,15.7,7.4,17.6,250.8,Fat-Rich
Beans,63.0,45.6,37.8,774.6,Carb-Rich
Chicken,48.8,5.3,15.0,351.4,Carb-Rich
Avocado,9.8,45.0,32.4,510.8,Protein-Rich
Peanuts,39.4,23.1,18.4,415.6,Carb-Rich
Bread,26.8,2.5,2.8,142.4,Carb-Rich
Rice,76.4,8.9,36.4,668.8,Carb-Rich
Cheese,59.3,6.9,22.9,470.9,Carb-Rich
Quinoa,7.7,17.3,29.8,368.2,Fat-Rich
Salmon,24.5,16.9,38.7,513.9,Fat-Rich
Almonds,0.7,27.2,19.3,285.3,Protein-Rich
Rice,35.8,7.3,26.3,409.1,Carb-Rich
Yogurt,22.4,27.8,33.6,503.2,Fat-Rich
Milk,36.6,5.5,14.3,297.1,Carb-Rich
Chicken,52.0,4.0,24.6,445.4,Carb-Rich
Beans,31.4,28.7,30.5,514.9,Carb-Rich
Banana,49.5,7.8,22.9,435.3,Carb-Rich
Quinoa,27.1,44.8,31.4,570.2,Protein-Rich
Milk,30.2,41.2,36.9,617.7,Protein-Rich
Rice,43.6,46.4,31.5,643.5,Protein-Rich
Quinoa,30.6,28.4,34.1,542.9,Fat-Rich
Beans,50.6,48.0,3.2,423.2,Carb-Rich
Tofu,28.0,30.3,12.0,341.2,Protein-Rich
Bread,66.4,41.1,28.7,688.3,Carb-Rich
Peanuts,40.1,3.3,35.9,496.7,Carb-Rich
Almonds,33.3,2.2,29.2,404.8,Carb-Rich
Lentils,79.3,36.3,0.4,466.0,Carb-Rich
Yogurt,54.5,2.7,30.5,503.3,Carb-Rich
Eggs,8.6,9.8,19.1,245.5,Fat-Rich
Quinoa,21.6,3.8,31.0,380.6,Fat-Rich
Eggs,31.3,23.6,8.2,293.4,Carb-Rich
Apple,44.8,27.6,38.1,632.5,Carb-Rich
Beans,18.6,38.9,20.4,413.6,Protein-Rich
Banana,45.4,0.6,12.0,292.0,Carb-Rich
Bread,6.2,11.9,20.3,255.1,Fat-Rich
Paneer,22.8,12.8,16.9,294.5,Carb-Rich
Chicken,25.7,10.6,16.5,293.7,Carb-Rich
Tofu,41.6,32.7,3.8,331.4,Carb-Rich
Banana,66.2,32.6,17.4,551.8,Carb-Rich
Almonds,7.4,15.2,22.1,289.3,Fat-Rich
Bread,36.4,15.1,14.1,332.9,Carb-Rich
Avocado,46.0,18.4,7.9,328.7,Carb-Rich
Chicken,34.9,38.7,23.6,506.8,Protein-Rich
Yogurt,26.9,27.5,18.8,386.8,Protein-Rich
Cheese,71.0,19.4,9.2,444.4,Carb-Rich
Lentils,62.8,18.8,16.9,478.5,Carb-Rich
Milk,10.6,12.7,12.0,201.2,Protein-Rich
Peanuts,3.4,43.4,33.3,486.9,Protein-Rich
Chicken,13.2,4.1,1.1,79.1,Carb-Rich
Milk,26.0,18.5,27.3,423.7,Fat-Rich
Chicken,56.0,11.0,33.9,573.1,Carb-Rich
Rice,7.9,26.5,11.0,236.6,Protein-Rich
Salmon,53.6,8.6,19.7,426.1,Carb-Rich
Banana,5.6,48.9,39.1,569.9,Protein-Rich
Milk,14.2,15.3,25.1,343.9,Fat-Rich
Salmon,64.6,45.2,19.4,613.8,Carb-Rich
Salmon,28.8,38.3,3.4,299.0,Protein-Rich
Avocado,23.6,5.9,28.4,373.6,Fat-Rich
Tofu,16.8,36.7,32.1,502.9,Protein-Rich
Salmon,13.9,6.1,4.1,116.9,Carb-Rich
Avocado,69.7,42.0,35.1,762.7,Carb-Rich
Bread,1.9,31.9,21.0,324.2,Protein-Rich
Chicken,0.1,36.9,3.3,177.7,Protein-Rich
Eggs,24.9,47.1,6.4,345.6,Protein-Rich
Rice,46.0,26.6,22.0,488.4,Carb-Rich
Sweet Potato,0.7,9.3,26.0,274.0,Fat-Rich
Salmon,58.1,37.0,7.5,447.9,Carb-Rich
Eggs,21.1,32.1,17.3,368.5,Protein-Rich
Rice,38.4,33.6,23.3,497.7,Carb-Rich
Eggs,16.5,36.0,3.9,245.1,Protein-Rich
Salmon,76.3,23.4,19.7,576.1,Carb-Rich
Tofu,70.9,45.1,38.4,809.6,Carb-Rich
Apple,25.3,1.7,31.7,393.3,Fat-Rich
Almonds,60.1,5.2,21.4,453.8,Carb-Rich
Tofu,34.7,37.5,29.9,557.9,Protein-Rich
Almonds,5.3,38.4,13.0,291.8,Protein-Rich
Bread,17.8,47.4,29.5,526.3,Protein-Rich
Chicken,37.1,5.7,1.3,182.9,Carb-Rich
Beans,8.1,27.1,26.3,377.5,Protein-Rich
Yogurt,16.2,46.0,12.7,363.1,Protein-Rich
Quinoa,44.5,19.7,39.9,615.9,Carb-Rich
Lentils,38.6,22.5,32.1,533.3,Carb-Rich
Beans,77.4,18.5,19.2,556.4,Carb-Rich
Banana,20.3,44.7,37.4,596.6,Protein-Rich
Apple,56.7,48.8,10.4,515.6,Carb-Rich
Banana,51.4,7.1,34.7,546.3,Carb-Rich
Almonds,50.3,9.8,4.9,284.5,Carb-Rich
Apple,25.8,23.7,31.2,478.8,Fat-Rich
Lentils,33.7,6.9,29.2,425.2,Carb-Rich
Almonds,24.1,7.2,4.7,167.5,Carb-Rich
Cheese,38.9,5.4,5.1,223.1,Carb-Rich
Avocado,63.8,18.1,17.8,487.8,Carb-Rich
Paneer,6.6,44.6,4.8,248.0,Protein-Rich
Peanuts,12.2,48.6,6.0,297.2,Protein-Rich
Banana,61.2,25.1,2.8,370.4,Carb-Rich
Banana,0.3,21.5,6.8,148.4,Protein-Rich
Quinoa,65.1,18.5,33.7,637.7,Carb-Rich
Oats,77.4,26.8,39.7,774.1,Carb-Rich
Cheese,70.0,15.6,30.5,616.9,Carb-Rich
Salmon,65.1,22.4,23.0,557.0,Carb-Rich
Bread,60.8,8.5,10.2,369.0,Carb-Rich
Paneer,62.5,6.7,30.5,551.3,Carb-Rich
Paneer,26.3,27.3,21.3,406.1,Protein-Rich
Oats,67.9,41.8,24.0,654.8,Carb-Rich
Cheese,2.6,4.6,35.1,344.7,Fat-Rich
Sweet Potato,14.5,18.3,32.4,422.8,Fat-Rich
Tofu,45.1,32.8,12.3,422.3,Carb-Rich
Cheese,26.3,40.1,39.8,623.8,Protein-Rich
Quinoa,17.0,40.3,36.9,561.3,Protein-Rich
Tofu,53.2,8.7,6.4,305.2,Carb-Rich
Yogurt,8.5,2.1,15.8,184.6,Fat-Rich
Rice,75.2,14.6,33.4,659.8,Carb-Rich
Apple,7.8,48.1,36.4,551.2,Protein-Rich
Oats,54.0,25.6,13.3,438.1,Carb-Rich
Peanuts,14.8,30.2,2.4,201.6,Protein-Rich
Lentils,6.9,27.1,29.3,399.7,Fat-Rich
Almonds,52.5,45.7,24.6,614.2,Carb-Rich
Eggs,23.7,28.1,35.1,523.1,Fat-Rich
Paneer,29.9,15.2,36.6,509.8,Fat-Rich
Banana,57.0,20.8,6.4,368.8,Carb-Rich
Oats,37.6,44.3,15.7,468.9,Protein-Rich
Oats,47.5,18.6,31.3,546.1,Carb-Rich
Oats,52.0,20.0,37.0,621.0,Carb-Rich
Avocado,44.4,14.6,20.4,419.6,Carb-Rich
Apple,43.0,6.8,4.1,236.1,Carb-Rich
Avocado,32.7,4.2,2.9,173.7,Carb-Rich
Salmon,5.0,38.0,4.3,210.7,Protein-Rich
Cheese,10.5,15.7,12.4,216.4,Protein-Rich
Paneer,30.8,17.4,38.0,534.8,Fat-Rich
Banana,53.6,26.8,9.6,408.0,Carb-Rich
Yogurt,76.4,39.8,9.5,550.3,Carb-Rich
Almonds,66.9,3.9,9.3,366.9,Carb-Rich
Peanuts,29.7,0.6,28.7,379.5,Carb-Rich
Peanuts,77.1,32.2,0.6,442.6,Carb-Rich
Sweet Potato,76.3,1.0,31.2,590.0,Carb-Rich
Peanuts,60.7,19.3,38.8,669.2,Carb-Rich
Beans,9.4,49.4,2.4,256.8,Protein-Rich
Yogurt,0.2,44.6,36.1,504.1,Protein-Rich
Sweet Potato,56.7,29.2,2.0,361.6,Carb-Rich
Chicken,8.1,39.4,1.8,206.2,Protein-Rich
Yogurt,4.4,22.3,5.9,159.9,Protein-Rich
Chicken,77.0,45.8,7.5,558.7,Carb-Rich
Salmon,6.8,13.6,14.9,215.7,Fat-Rich
Lentils,21.5,0.5,20.4,271.6,Carb-Rich
Apple,77.1,5.6,19.2,503.6,Carb-Rich
Peanuts,68.7,22.5,8.0,436.8,Carb-Rich
Yogurt,7.0,4.2,8.1,117.7,Fat-Rich
Peanuts,3.0,30.9,15.2,272.4,Protein-Rich
Apple,15.4,26.5,5.5,217.1,Protein-Rich
Oats,50.9,11.4,0.9,257.3,Carb-Rich
Beans,15.0,24.9,18.9,329.7,Protein-Rich
Peanuts,75.2,36.2,19.9,624.7,Carb-Rich
Avocado,6.7,23.2,13.5,241.1,Protein-Rich
Avocado,50.5,14.8,21.9,458.3,Carb-Rich
Banana,54.9,9.8,18.4,424.4,Carb-Rich
Yogurt,62.9,28.1,3.8,398.2,Carb-Rich
Cheese,27.4,36.5,20.8,442.8,Protein-Rich
Quinoa,78.7,45.1,37.5,832.7,Carb-Rich
Sweet Potato,7.9,49.6,9.2,312.8,Protein-Rich
Rice,50.1,12.1,20.2,430.6,Carb-Rich
Quinoa,25.2,40.9,14.0,390.4,Protein-Rich
Almonds,15.9,16.7,21.4,323.0,Fat-Rich
Peanuts,64.1,20.1,35.6,657.2,Carb-Rich
Paneer,77.6,2.4,2.0,338.0,Carb-Rich
Almonds,51.1,16.6,8.2,344.6,Carb-Rich
Almonds,52.6,41.5,38.1,719.3,Carb-Rich
Oats,41.3,35.0,23.8,519.4,Carb-Rich
Milk,38.7,8.1,3.6,219.6,Carb-Rich
Banana,22.7,28.7,17.7,364.9,Protein-Rich
Bread,29.9,48.6,34.3,622.7,Protein-Rich
Sweet Potato,41.7,10.0,22.0,404.8,Carb-Rich
Rice,44.3,31.1,9.7,388.9,Carb-Rich
Yogurt,53.7,38.5,4.6,410.2,Carb-Rich
Rice,48.2,34.9,22.8,537.6,Carb-Rich
Banana,76.9,41.3,34.6,784.2,Carb-Rich
Almonds,77.4,43.4,5.4,531.8,Carb-Rich
Quinoa,40.9,3.2,18.4,342.0,Carb-Rich
Avocado,24.1,7.0,19.4,299.0,Carb-Rich
Banana,55.3,17.4,15.6,431.2,Carb-Rich
Beans,31.5,1.7,37.1,466.7,Fat-Rich
Lentils,71.0,40.9,37.5,785.1,Carb-Rich
Beans,7.0,31.2,34.7,465.1,Fat-Rich
Tofu,50.6,13.1,35.0,569.8,Carb-Rich
Cheese,45.1,4.3,6.8,258.8,Carb-Rich
Chicken,63.3,36.5,30.3,671.9,Carb-Rich
Almonds,50.9,5.5,12.7,339.9,Carb-Rich
Peanuts,79.0,39.9,16.4,623.2,Carb-Rich
Sweet Potato,69.6,9.4,1.0,325.0,Carb-Rich
Paneer,26.6,17.0,19.1,346.3,Carb-Rich
Peanuts,23.7,45.5,33.9,581.9,Protein-Rich
Tofu,17.1,23.2,1.9,178.3,Protein-Rich
Quinoa,0.5,0.5,25.6,234.4,Fat-Rich
